Country,IUCN,Species,Value
Hungary,TOT_KNOWN,Invertebrates,87.0
Hungary,TOT_KNOWN,Lichens,715.0
Hungary,TOT_KNOWN,Mammals,87.0
Hungary,TOT_KNOWN,Mosses,659.0
Hungary,TOT_KNOWN,Vascular plants,2721.0
Hungary,VULNERABLE,Birds,35.0
Hungary,VULNERABLE,Invertebrates,8.0
Hungary,VULNERABLE,Lichens,45.0
Hungary,VULNERABLE,Mammals,6.0
Hungary,VULNERABLE,Mosses,63.0
Hungary,VULNERABLE,Vascular plants,105.0
Iceland,CRITICAL,Birds,6.0
Iceland,ENDANGERED,Birds,11.0
Iceland,TOT_KNOWN,Birds,75.0
Iceland,VULNERABLE,Birds,16.0
Ireland,CRITICAL,Invertebrates,28.0
Ireland,CRITICAL,Marine Fish,6.0
Ireland,CRITICAL,Mosses,19.0
Ireland,CRITICAL,Vascular plants,20.0
Ireland,ENDANGERED,Invertebrates,51.0
Ireland,ENDANGERED,Marine Fish,5.0
Ireland,ENDANGERED,Mosses,30.0
Ireland,ENDANGERED,Vascular plants,25.0
Ireland,TOT_KNOWN,Invertebrates,1230.0
Ireland,TOT_KNOWN,Marine Fish,376.0
Ireland,TOT_KNOWN,Mosses,596.0
Ireland,TOT_KNOWN,Vascular plants,1050.0
Ireland,VULNERABLE,Invertebrates,100.0
Ireland,VULNERABLE,Marine Fish,6.0
Ireland,VULNERABLE,Mosses,64.0
Ireland,VULNERABLE,Vascular plants,56.0
Italy,CRITICAL,Amphibians,0.0
Italy,CRITICAL,Birds,10.0
Italy,CRITICAL,Fish,21.0
Italy,CRITICAL,Freshwater Fish,11.0
Italy,CRITICAL,Invertebrates,88.0
Italy,CRITICAL,Mammals,2.0
Italy,CRITICAL,Marine Fish,10.0
Italy,CRITICAL,Reptiles,1.0
Italy,CRITICAL,Vascular plants,193.0
Italy,ENDANGERED,Amphibians,4.0
Italy,ENDANGERED,Birds,36.0
Italy,ENDANGERED,Fish,12.0
Italy,ENDANGERED,Freshwater Fish,6.0
Italy,ENDANGERED,Invertebrates,136.0
Italy,ENDANGERED,Mammals,8.0
Italy,ENDANGERED,Marine Fish,6.0
Italy,ENDANGERED,Reptiles,5.0
Italy,ENDANGERED,Vascular plants,269.0
Italy,TOT_KNOWN,Amphibians,44.0
Italy,TOT_KNOWN,Birds,278.0
Italy,TOT_KNOWN,Fish,641.0
Italy,TOT_KNOWN,Freshwater Fish,97.0
Italy,TOT_KNOWN,Invertebrates,58632.0
Italy,TOT_KNOWN,Mammals,126.0
Italy,TOT_KNOWN,Marine Fish,544.0
Italy,TOT_KNOWN,Reptiles,56.0
Italy,TOT_KNOWN,Vascular plants,8195.0
Italy,VULNERABLE,Amphibians,10.0
Italy,VULNERABLE,Birds,21.0
Italy,VULNERABLE,Fish,14.0
Italy,VULNERABLE,Freshwater Fish,8.0
Italy,VULNERABLE,Invertebrates,232.0
Italy,VULNERABLE,Mammals,13.0
Italy,VULNERABLE,Marine Fish,6.0
Italy,VULNERABLE,Reptiles,5.0
Italy,VULNERABLE,Vascular plants,169.0
Japan,CRITICAL,Birds,31.0
Japan,CRITICAL,Fish,60.0
Japan,CRITICAL,Freshwater Fish,54.0
Japan,CRITICAL,Invertebrates,22.0
Japan,CRITICAL,Lichens,43.0
Japan,CRITICAL,Mammals,13.0
Japan,CRITICAL,Marine Fish,6.0
Japan,CRITICAL,Mosses,137.0
Japan,CRITICAL,Reptiles,9.0
Japan,CRITICAL,Vascular plants,520.0
Japan,ENDANGERED,Birds,24.0
Japan,ENDANGERED,Fish,79.0
Japan,ENDANGERED,Freshwater Fish,71.0
Japan,ENDANGERED,Invertebrates,22.0
